input,weight,output,scenario,iteration
electricity,7111456.016,battery,2050_high_demand,Run_2_1_
battery,6019136.372,electricity,2050_high_demand,Run_2_1_
bus_mileage,558247.7431,bus_demand,2050_high_demand,Run_2_1_
car_mileage,32120253.1,car_demand,2050_high_demand,Run_2_1_
electricity,37091124.06,demand_elec,2050_high_demand,Run_2_1_
heat,154502751.1,demand_heat,2050_high_demand,Run_2_1_
hydrogen,3482191.781,demand_hydrogen_industrial,2050_high_demand,Run_2_1_
electricity_grid,234553.8063,elec_lines_grid:Golden Hill,2050_high_demand,Run_2_1_
elec_lines_grid:Golden Hill,113743.052,electricity_grid,2050_high_demand,Run_2_1_
electricity_grid,113743.052,elec_lines_grid:Haverfordwest Power Stn,2050_high_demand,Run_2_1_
electricity_grid,113743.052,elec_lines_grid:Neyland,2050_high_demand,Run_2_1_
elec_lines_grid:Neyland,219583.052,electricity_grid,2050_high_demand,Run_2_1_
elec_lines_grid:St Twynells,128713.8063,electricity_grid,2050_high_demand,Run_2_1_
electricity_primary,1769844.434,elec_lines_primary:Brawdy,2050_high_demand,Run_2_1_
electricity_primary,6912068.222,elec_lines_primary:Bridell,2050_high_demand,Run_2_1_
elec_lines_primary:Bridell,28685.90229,electricity_primary,2050_high_demand,Run_2_1_
electricity_primary,44866655.73,elec_lines_primary:Broadfield,2050_high_demand,Run_2_1_
elec_lines_primary:Broadfield,37038225.13,electricity_primary,2050_high_demand,Run_2_1_
electricity_primary,18327561.71,elec_lines_primary:Fishguard,2050_high_demand,Run_2_1_
elec_lines_primary:Fishguard,8712449.424,electricity_primary,2050_high_demand,Run_2_1_
electricity_primary,43935569.78,elec_lines_primary:Golden Hill,2050_high_demand,Run_2_1_
elec_lines_primary:Golden Hill,27975875.34,electricity_primary,2050_high_demand,Run_2_1_
electricity_primary,66234551.41,elec_lines_primary:Haverfordwest Power Stn,2050_high_demand,Run_2_1_
elec_lines_primary:Haverfordwest Power Stn,60266569.45,electricity_primary,2050_high_demand,Run_2_1_
electricity_primary,26938.85187,elec_lines_primary:Llanfyrnach,2050_high_demand,Run_2_1_
elec_lines_primary:Llanfyrnach,1779410.887,electricity_primary,2050_high_demand,Run_2_1_
electricity_primary,9947676.428,elec_lines_primary:Merlins Bridge,2050_high_demand,Run_2_1_
electricity_primary,3010301.088,elec_lines_primary:Milford Haven,2050_high_demand,Run_2_1_
electricity_primary,8712449.424,elec_lines_primary:Nevern,2050_high_demand,Run_2_1_
elec_lines_primary:Nevern,4656873.887,electricity_primary,2050_high_demand,Run_2_1_
electricity_primary,28685.90229,elec_lines_primary:Newcastle Emlyn South,2050_high_demand,Run_2_1_
elec_lines_primary:Newcastle Emlyn South,2255194.335,electricity_primary,2050_high_demand,Run_2_1_
electricity_primary,36849499.92,elec_lines_primary:Neyland,2050_high_demand,Run_2_1_
elec_lines_primary:Neyland,31087439.85,electricity_primary,2050_high_demand,Run_2_1_
electricity_primary,7459086.924,elec_lines_primary:Penblewin,2050_high_demand,Run_2_1_
elec_lines_primary:Penblewin,17521.70553,electricity_primary,2050_high_demand,Run_2_1_
electricity_primary,24700636.68,elec_lines_primary:St Davids,2050_high_demand,Run_2_1_
elec_lines_primary:St Davids,20097406.15,electricity_primary,2050_high_demand,Run_2_1_
electricity_primary,38674454.14,elec_lines_primary:St Florence,2050_high_demand,Run_2_1_
elec_lines_primary:St Florence,35854941,electricity_primary,2050_high_demand,Run_2_1_
electricity_primary,1189783.1,elec_lines_primary:St Twynells,2050_high_demand,Run_2_1_
elec_lines_primary:Steynton,85463546.16,electricity_primary,2050_high_demand,Run_2_1_
electricity_primary,4519056.973,elec_lines_primary:Tenby,2050_high_demand,Run_2_1_
electricity_primary,1796932.593,elec_lines_primary:Whitland,2050_high_demand,Run_2_1_
elec_lines_primary:Whitland,3727614.082,electricity_primary,2050_high_demand,Run_2_1_
electricity_transport,1213582.05,electric_bus,2050_high_demand,Run_2_1_
electric_bus,558247.7431,bus_mileage,2050_high_demand,Run_2_1_
electricity_transport,9177215.17,electric_car,2050_high_demand,Run_2_1_
electric_car,32120253.1,car_mileage,2050_high_demand,Run_2_1_
electricity_transport,3039443.939,electric_hgv,2050_high_demand,Run_2_1_
electric_hgv,851044.3028,hgv_mileage,2050_high_demand,Run_2_1_
electricity_transport,1664507.478,electric_van,2050_high_demand,Run_2_1_
electric_van,5426294.378,van_mileage,2050_high_demand,Run_2_1_
electricity,-5.77E-10,electrolyser,2050_high_demand,Run_2_1_
electrolyser,-4.47E-10,hydrogen,2050_high_demand,Run_2_1_
electricity,15094748.64,ev_chargers,2050_high_demand,Run_2_1_
ev_chargers,15094748.64,electricity_transport,2050_high_demand,Run_2_1_
electricity_grid,-234553.8063,grid_substation,2050_high_demand,Run_2_1_
electricity_primary,-105840,grid_substation,2050_high_demand,Run_2_1_
grid_substation,105840,electricity_grid,2050_high_demand,Run_2_1_
grid_substation,234553.8063,electricity_primary,2050_high_demand,Run_2_1_
ground_pv,9334140.054,electricity_primary,2050_high_demand,Run_2_1_
electricity,61288414.18,heat_pump,2050_high_demand,Run_2_1_
heat_pump,153221035.5,heat,2050_high_demand,Run_2_1_
hgv_mileage,863581.978,hgv_demand,2050_high_demand,Run_2_1_
hydroelectricity,407860.8,electricity_primary,2050_high_demand,Run_2_1_
hydrogen_transport,36875.51537,hydrogen_hgv,2050_high_demand,Run_2_1_
